"","V1","V2","V3","V4","V5","V6","V7","V8"
"3574",0,0,1,0,0,0,0,1
"3575",0,0,5,0,0,0,0,5
"3576",0,0,0,0,0,2,1,4
"3577",2,0,8,0,0,3,1,14
"3578",0,1,2,0,1,1,1,6
"3579",1,1,1,0,0,2,0,5
"3580",0,0,0,0,0,0,0,0
"3581",0,0,1,0,0,0,0,1
"3582",0,1,7,0,0,3,2,14
"3583",0,0,2,0,0,1,0,3
"3584",0,1,0,0,0,1,0,2
"3585",0,0,8,0,0,4,2,14
"3586",0,1,2,0,1,1,1,6
"3587",3,1,22,0,0,10,4,40
"3588",1,8,15,1,0,7,11,43
"3589",2,0,1,0,0,1,0,4
"3590",2,1,18,0,0,13,3,37
"3591",0,1,6,0,0,2,1,10
"3592",3,0,18,0,0,7,4,33
"3593",3,8,9,0,2,18,5,45
"3594",0,0,0,0,0,1,0,1
"3595",1,0,1,0,0,1,0,3
"3596",0,0,0,0,0,0,0,0
"3597",0,0,3,0,1,1,3,8
"3598",0,1,11,0,0,7,3,22
"3599",0,0,5,0,0,2,1,8
"3600",0,1,7,0,1,2,1,12
"3601",0,2,2,0,0,0,1,5
"3602",5,0,2,0,0,2,0,9
"3603",0,0,5,0,0,3,0,8
"3604",0,0,2,0,0,0,0,2
"3605",0,2,8,0,0,3,4,17
"3606",0,0,2,0,0,3,1,6
"3607",1,0,9,0,0,6,3,19
"3608",0,3,3,0,1,3,1,12
"3609",4,2,13,1,2,7,5,34
"3610",4,1,6,0,0,4,7,23
"3611",0,0,4,0,0,2,0,6
"3612",0,0,1,0,0,0,0,1
"3613",1,0,4,0,0,0,0,5
"3614",1,1,4,1,0,2,3,12
"3615",0,0,0,0,0,0,0,0
"3616",0,0,0,0,0,2,0,3
"3617",1,4,10,1,0,5,0,21
"3618",2,8,9,1,1,13,7,42
"3619",2,1,10,0,0,15,4,32
"3620",1,0,7,1,0,2,4,15
"3621",0,0,1,0,0,4,4,9
"3622",1,5,11,0,1,19,4,41
"3623",13,16,56,3,4,33,31,157
"3624",0,0,1,0,0,2,2,5
"3625",0,0,3,0,1,1,3,8
"3626",2,3,5,0,0,6,5,21
