"","x"
"1242",41
"1243",104
"1244",188
"1245",295
"1246",55
"1247",85
"1248",19
"1249",42
"1250",329
"1251",148
"1252",218
"1253",0
"1254",159
"1255",367
"1256",199
"1257",79
"1258",27
"1259",130
"1260",71
"1261",252
"1262",288
"1263",76
"1264",64
"1265",193
"1266",114
"1267",83
"1268",1177
"1269",43
"1270",188
"1271",8
"1272",30
"1273",104
"1274",174
"1275",48
"1276",66
"1277",108
"1278",28
"1279",89
"1280",18
"1281",774
"1282",106
"1283",22
"1284",288
"1285",306
"1286",205
"1287",89
"1288",54
"1289",80
"1290",22
"1291",199
"1292",191
"1293",88
"1294",14
"1295",689
"1296",22
"1297",0
"1298",90
"1299",70
"1300",210
"1301",156
"1302",249
"1303",230
"1304",106
"1305",84
"1306",12
"1307",260
"1308",98
"1309",248
"1310",10
"1311",133
"1312",40
"1313",23
"1314",344
"1315",11
"1316",280
"1317",1
"1318",117
"1319",17
"1320",4
"1321",83
"1322",84
"1323",210
"1324",13
"1325",29
"1326",6
"1327",704
"1328",145
"1329",121
"1330",33
"1331",356
"1332",362
"1333",158
"1334",29
"1335",54
"1336",181
"1337",20
"1338",44
"1339",44
"1340",93
"1341",20
"1342",26
"1343",24
"1344",198
"1345",36
"1346",134
"1347",29
"1348",103
"1349",55
"1350",160
"1351",23
"1352",84
"1353",115
"1354",576
"1355",194
"1356",321
"1357",88
"1358",41
"1359",289
"1360",38
"1361",12
"1362",187
"1363",2
"1364",93
"1365",139
"1366",149
"1367",335
"1368",331
"1369",117
"1370",201
"1371",74
"1372",155
"1373",7
"1374",19
"1375",12
"1376",134
"1377",115
"1378",251
"1379",41
"1380",318
"1381",74
"1382",54
"1383",185
"1384",227
"1385",108
"1386",46
"1387",148
"1388",71
"1389",54
"1390",34
"1391",18
"1392",55
"1393",76
"1394",264
"1395",12
"1396",606
"1397",60
"1398",103
"1399",106
"1400",289
"1401",16
"1402",2
"1403",172
"1404",100
"1405",289
"1406",150
"1407",332
"1408",22
"1409",309
"1410",9
"1411",1451
"1412",282
"1413",282
"1414",33
"1415",12
"1416",28
"1417",33
"1418",603
"1419",88
"1420",90
"1421",0
"1422",108
"1423",41
"1424",44
"1425",359
"1426",548
"1427",90
"1428",45
"1429",1080
"1430",43
"1431",27
"1432",14
"1433",81
"1434",430
"1435",12
"1436",74
"1437",0
"1438",56
"1439",159
"1440",75
"1441",126
"1442",11
"1443",38
"1444",31
"1445",47
"1446",111
"1447",116
"1448",19
"1449",183
"1450",9
"1451",102
"1452",62
"1453",199
"1454",249
"1455",54
"1456",200
"1457",16
"1458",33
"1459",94
"1460",33
"1461",139
"1462",101
"1463",1191
"1464",32
"1465",154
"1466",161
"1467",32
"1468",105
"1469",113
"1470",140
"1471",359
"1472",90
"1473",27
"1474",205
"1475",71
"1476",105
"1477",17
"1478",305
"1479",64
"1480",57
"1481",175
"1482",88
"1483",275
"1484",75
"1485",110
"1486",32
"1487",3
"1488",253
"1489",15
"1490",290
"1491",64
"1492",22
"1493",212
"1494",87
"1495",60
"1496",11
"1497",113
"1498",836
"1499",26
"1500",647
"1501",267
"1502",514
"1503",54
"1504",45
"1505",299
"1506",78
"1507",432
"1508",14
"1509",87
"1510",315
"1511",43
"1512",134
"1513",322
"1514",177
"1515",261
"1516",34
"1517",854
"1518",181
"1519",81
"1520",230
"1521",178
"1522",32
"1523",116
"1524",80
"1525",60
"1526",29
"1527",383
"1528",570
"1529",85
"1530",86
"1531",29
"1532",180
"1533",311
"1534",29
"1535",200
"1536",81
"1537",98
"1538",51
"1539",134
"1540",19
"1541",366
"1542",662
"1543",207
"1544",397
"1545",138
"1546",17
"1547",21
"1548",80
"1549",164
"1550",274
"1551",39
"1552",57
"1553",58
"1554",16
"1555",51
"1556",72
"1557",276
"1558",64
"1559",143
"1560",50
"1561",625
"1562",33
"1563",265
"1564",62
"1565",310
